"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","stock.data.a6.df$ARCO"
"613",45.34,13.85,49.52,178.429993,5.36,5e-04,71.849998,18.809999,39.91,163.085144,5.77,1.5,13.35,0.88,10.41,37.080002,117.68,33.736366,113.632027,245.21994,76.737259,53.520535,19.835049,15.55,33.493488,10.62,29.469999,14.961391,35.98,16.620001,21.49,17.889999,28.07,15.42,40.610001,5.113597
"614",44.279999,13.6,48.57,174.449997,5.35,5e-04,70.639999,18.360001,38.860001,161.17305,5.41,1.41,12.38,0.85,9.49,36.73,114.449997,32.631989,115.557167,242.944626,76.785255,52.973511,20.299086,15.15,33.877903,10.75,29.370001,14.64475,38.139999,17.93,22.799999,18.16,28.450001,15.9,43.990002,5.271852
"615",45.560001,14.27,50.619999,183.990005,5.98,5e-04,74.589996,19.889999,41.650002,164.638718,5.5,1.43,12.99,0.88,9.69,38.150002,116.019997,33.31382,117.9879,243.686569,77.293953,54.126167,20.871725,16.15,34.765018,11.11,30.93,15.36709,38.040001,17.889999,22.76,18.73,29.280001,16.040001,43.41,5.390543
"616",45.209999,14.07,50.349998,184.940002,6.22,5e-04,75.720001,19.790001,41.360001,170.474548,5.76,1.52,13.36,0.97,10.22,38.580002,118.400002,33.601921,118.143463,242.47966,77.437927,53.491226,20.644644,16.549999,35.15929,12.12,31.309999,14.951496,38.880001,18.23,23.610001,18.9,29.51,16.27,45.25,5.529015
"617",45.27,14.5,51.43,192.199997,6.81,5e-04,77.720001,20,42.240002,174.35849,5.82,1.57,13.6,0.93,10.39,39.380001,116.599998,33.976448,118.493492,241.698166,78.090607,53.852657,20.79274,14.65,35.080437,11.68,31.879999,15.070237,38.5,18.139999,23.41,18.559999,29.299999,16.15,44.439999,5.449888
"618",43.610001,14.42,51.419998,191,7.11,5e-04,76.260002,19.74,41.25,173.840637,5.62,1.47,12.78,0.91,9.84,38.630001,114.529999,32.862469,120.710327,240.293365,77.207573,53.686596,20.743376,14.4,35.395859,11.66,31.610001,15.456146,38.18,18.01,22.99,18.280001,29.26,16.190001,44.049999,5.420215
"619",41.970001,14.35,51.669998,185.339996,6.85,5e-04,77.269997,19.200001,40.889999,178.71048,5.49,1.42,13.12,0.9,9.56,37.849998,114.389999,32.9585,121.993752,241.520081,77.428329,52.768375,20.141115,13.8,34.449604,11.91,31.07,15.030657,36.869999,17.120001,22.59,18.219999,28.450001,16.02,41.740002,5.172943
"620",40.48,13.97,50.299999,179.380005,6.5,5e-04,74.879997,18.41,39.27,175.015793,5.2,1.38,12.51,0.83,9.24,37.139999,116.43,32.545559,123.004944,245.862976,77.601097,53.315399,20.457052,13.6,33.946903,11.67,30.32,14.624957,36.529999,16.91,22.35,17.889999,27.969999,16.059999,41.380001,5.133379
"621",40.240002,13.97,50.139999,177.399994,6.44,5e-04,73.879997,18.139999,39.490002,173.611588,5.11,1.35,12.37,0.85,9.1,37.419998,117.389999,33.198582,123.763329,246.703857,77.35154,53.237251,21.088934,14.15,34.479172,12.19,30.99,15.83216,36.610001,16.99,22.209999,17.719999,27.67,16.370001,41.5,5.093816
"622",40.110001,13.96,50.27,178.720001,6.52,5e-04,75.389999,18.35,38.07,178.561111,5.14,1.41,12.54,0.84,9.4,40.509998,119.870003,33.064137,126.621872,272.325897,78.244171,54.428986,20.447182,13.15,33.345638,11.25,30.309999,15.030657,35.799999,16.52,21.35,18.02,27.99,16.450001,40.049999,5.103706
