"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","volume.data.a6.df$ARCO"
"42",2614900,5881000,728400,398800,1002700,0,367500,366000,268400,63755200,43300,348200,415800,1900,143000,75400,380200,375400,6872800,1744400,975100,2131700,169300,86680,68800,31400,8600,267000,4101400,7205600,488900,5900,19900,165800,4085100,292500
"43",3851800,4607200,788300,191900,1997200,0,263800,372000,113900,83962000,58200,186000,249600,8600,145200,120800,297500,444500,6011900,2708600,976300,2692900,320700,18680,53400,62600,10000,165200,4268300,5076200,807600,39800,30400,257800,1928900,835500
"44",3274700,4285500,842100,137900,1194400,10200,249700,386200,224800,84573600,47000,381100,57200,64400,168500,142800,331600,335100,6415100,2870700,1527900,2413600,234800,75580,135100,37100,21000,269800,6601700,6730000,1166900,15600,11900,251500,2350100,570300
"45",4298000,4083900,1110600,211100,1989300,0,269800,658700,247100,80092000,33600,165000,30100,37300,606500,52900,318700,587500,7915700,3710300,2018200,2263600,335600,42580,89500,23200,18000,283400,4939600,5653300,1567600,11200,20300,401500,2737800,618000
"46",3167000,11362800,1067000,205500,649000,0,480200,615500,207500,76752400,36200,125100,44200,3300,360500,66900,289200,301400,9618300,3756400,1357900,1741800,386900,26280,204100,37800,80400,393000,4461600,6254600,825200,10200,23000,364700,2968900,2527700
"47",3236100,5078200,1285700,237700,1021300,0,306600,578900,263300,95654800,84000,194300,52500,19600,459700,81100,520500,252500,5602400,4045900,1119300,1610000,138100,34100,68800,19000,19000,346400,5741100,5791900,706600,11900,16900,496100,2345100,499700
"48",2773600,4487200,1034000,144800,1262600,0,465000,402500,119300,77449200,65600,168000,13800,2600,266000,55900,445800,309800,7502500,2904700,1219000,1888700,249400,66560,118700,21500,7000,383700,5740500,8561600,2769100,10800,13300,428600,2123100,164900
"49",3127600,5553600,951200,496800,789500,0,333800,758500,206600,109237600,199600,406600,14100,4700,347500,69800,431400,592500,10310900,4982300,2163800,2821900,408200,48200,120100,29400,22400,406000,4409600,6377300,1204000,5300,9000,346000,1711700,570500
"50",3196200,5385200,723000,175600,980400,10000,371400,967700,197000,127111600,274000,275900,12300,1900,198300,64800,300100,504900,12155700,6589500,2153100,4102700,434800,46580,76300,30800,22400,379400,4163700,10842600,1172200,8800,14400,219600,2431500,532700
"51",5496000,6067600,787500,214900,738200,0,301800,780000,190900,177158400,489400,232600,9500,2700,294400,117800,298600,334000,8369100,3404100,1182000,7843500,265900,31660,296500,332400,11400,336300,5188700,5808800,765800,15100,25000,233300,2724700,315700
"52",2963500,3497500,668200,141100,979600,273,231100,761200,259300,128906800,170800,187100,29600,3400,212300,161400,407500,561200,9560100,3578500,2559400,6763500,272600,77180,462800,107500,34800,227800,7548400,7131900,872300,11800,25700,302000,3000700,393700
"53",4400800,3464500,588400,142100,781400,0,465500,452400,190400,159053200,244800,246200,4000,4900,380300,93000,368500,819300,8135600,2842600,2523300,3658900,198900,27160,496900,122100,10200,257700,9556400,15507800,767200,28900,34400,508300,3438200,207700
"54",4727300,6681600,1295200,139700,1148800,0,613600,704500,321200,84632400,159000,286200,9200,3300,247000,100300,270800,879600,5992000,1728900,1153100,2502200,195200,124860,255900,23400,7800,218600,8176700,12683400,944300,20400,18300,454200,3553500,195100
"55",4270200,5159900,657000,107600,862700,0,397300,534400,185300,73274800,345300,228400,3100,2600,3885300,64900,200700,467600,9013500,2438100,2376600,4918500,188500,109020,435000,141300,14000,282700,4075600,6129400,1301400,12600,7300,226800,2153000,174300
"56",4514200,5053800,758600,127300,553100,0,211200,597400,275200,101360000,117200,136500,5000,8600,760800,45600,512000,536000,6252600,3132500,1424200,2096200,143900,68640,372600,43100,3800,271600,3569900,5102700,1037400,5900,21700,405300,2348800,584100
"57",4054800,4818800,604500,136300,516000,3000,137200,572900,193200,88242400,73500,162400,12700,3100,489100,87800,387300,412700,5541200,3929800,901900,4153700,428400,20880,266300,20100,26800,799100,6139400,6885400,919000,4800,12600,232000,2654900,431500
"58",7034800,6521800,1249100,151000,737900,253,280600,968300,602500,221652400,281400,264800,2900,10100,470000,172500,579900,555200,12968700,7517700,1913000,4868200,143500,47520,350100,21000,41000,213000,4387100,5324400,1149200,2800,66800,134300,3082500,237200
"59",2910200,5042400,632600,89300,456200,0,251600,593200,238700,76662000,118800,223600,7400,800,359500,118300,186300,322800,8092300,2611300,1941800,2457000,323900,175560,476000,35200,42200,440400,5047700,5558300,797100,4800,31500,218800,1545100,328500
"60",3402100,6714400,596500,358800,352300,0,245100,449200,175500,124763200,206700,213600,8800,1600,508000,153100,291400,578200,8223800,3480200,1360600,2878400,294100,110580,444500,16000,8600,272200,3193100,6369400,802200,4600,11500,197500,1729500,371900
"61",2118900,4112100,522600,119300,435500,0,185100,391000,153000,87613600,220700,163300,6400,2900,269900,123300,177800,628500,5922700,3093400,1336300,4193600,140700,27140,130100,92600,3800,133400,3795400,4831300,526600,7100,9700,83300,1282400,206700
"62",2528900,2983000,541200,111600,718400,2893,389100,651800,110600,75334000,43400,247900,18300,0,154600,100100,240000,628000,10324100,2266400,2423100,4677500,174100,47880,216700,37600,800,125400,4395800,5155100,616600,10000,14400,135400,1654400,166900
"63",3160700,3458900,814000,127000,3501200,0,462500,409400,156900,101408000,57700,252000,3100,1900,135300,44500,360300,1324500,7677300,1906300,2326300,2299500,289800,81060,363100,19900,16400,273300,5208200,5109800,819800,10100,12000,243700,1939400,290000
"64",3712900,3743800,808800,226400,786600,0,376300,950200,331700,103909600,38100,271100,4400,600,113000,71100,291700,451200,8315100,2516600,1463100,3505100,186500,31740,443400,27300,15000,365800,7102200,6547000,670600,12500,13400,201100,2419800,302100
"65",4204900,5133300,612700,123800,524700,0,210000,507700,194900,139223200,78800,315600,2900,3000,217600,118000,465600,907400,10910800,2203400,2343400,3077900,321700,106160,281200,109200,7000,411900,13770400,14178200,1466600,2500,13200,199900,4212200,599000
"66",5131400,7568800,1334100,135600,630500,0,251600,505200,175000,138449200,69400,357800,16100,9000,142500,76300,257200,1125700,8380500,4483900,2224500,3140100,213700,132620,231800,23400,6200,250000,14346800,8586400,2126700,7200,8100,455800,2727000,752800
"67",4079200,7160800,980000,147100,1128000,0,198000,496600,131400,114426000,45300,255000,7300,0,100300,85100,229400,740100,6228500,2735000,1914900,2001900,181500,73880,321500,19600,10600,159400,6620900,6446100,1218300,2400,10400,428700,1936000,522400
"68",2779800,6814300,478200,68600,1008300,0,138100,301800,117700,138478800,50500,171700,2700,2100,63900,93400,241700,408800,7007500,2865300,1684300,1878400,403000,37780,245500,33000,19000,192400,8659800,5725400,1259500,3800,32300,327600,2083900,325400
"69",2775100,4803000,621300,101600,497400,550,282300,732100,128200,122306000,42200,128400,2500,2000,223100,91900,184000,477300,5163500,1460800,1930500,2254300,377700,98920,151300,3300,14600,227600,8039400,9028100,1327000,19400,34900,221400,2548000,556700
"70",3751400,3343300,962300,119900,328600,575,261300,3065400,125000,111820000,138200,159000,900,500,165700,70800,220400,1279300,6121500,2802500,1517000,3093000,278800,89560,125900,37600,2400,161000,7615300,8095500,1751100,6900,10100,190000,3124200,696700
"71",3698600,3336900,536900,128600,578500,2500,324400,681600,176000,74770400,30900,127400,300,300,124700,103500,242900,622900,5851000,1636600,1354200,1981500,1686300,75420,166900,35400,1000,212900,22703500,7057600,1514400,13900,19400,146600,2701100,466400
"72",2822400,3290100,565600,153300,1834900,0,183400,740300,149100,113013600,34400,113500,5700,19500,142200,67800,199800,2158000,7329400,2736900,1874000,6218200,462700,82300,154100,25300,6600,429200,10935000,7492400,3253700,6900,17800,216700,2455700,170600
"73",3032800,3653500,1585100,113500,1653500,10000,281000,817900,194000,166795600,74800,347400,3000,400,92100,68400,413200,763600,7164900,2554900,1124800,3842900,358000,37320,135900,21400,6400,377300,6631900,3167100,1042600,3100,63000,139600,3421900,174900
"74",1932800,2807700,593500,56700,552100,0,77500,715200,249200,96427600,27900,378100,1200,12500,101200,88300,164800,349700,5040900,1341300,1235100,2651700,345300,21600,122000,25200,12200,391800,8413300,7019200,2376300,2500,9100,175800,4348500,167200
"75",3505800,3157400,928100,143200,551000,0,243300,543300,271400,87360000,50700,180800,800,3500,138400,85900,168200,510000,6028300,1760000,1378600,2230100,252800,25480,121200,22700,1800,243500,5532800,6353300,1562200,3600,12700,226700,6780700,248500
"76",4356100,6009300,942100,108800,354700,0,302000,1048100,189000,73903200,33300,336300,7300,30700,150000,75000,142000,552300,8288300,2314600,2004000,1663000,218300,24120,162300,46600,5200,451500,4402000,6709600,1178200,4600,9700,276500,2482000,566100
"77",3872500,4519500,749200,107700,582700,0,176600,611600,183200,67585200,28700,269300,18200,400,148900,65600,180300,326000,6811300,2018900,1358800,2431500,229600,29520,190100,16000,11800,342300,6966400,5689100,1684100,3000,16300,186600,2722400,392000
"78",7672900,3791800,969700,105300,647700,700,257700,829200,172600,97433600,84000,172900,2800,4800,72500,52200,245700,448100,9480200,2207100,995900,1650700,276100,46720,177500,15800,24200,216100,6699600,6746400,1437200,4400,5300,159000,2045100,625100
"79",6836000,13912000,1441600,98300,554000,0,299500,768600,215400,87247200,56300,410400,200,17700,199100,70600,230100,665800,7839100,3944900,2311000,2389900,262500,20320,244600,115500,600,283000,5646900,8022000,1431900,1500,5600,146400,1997000,298300
"80",5598400,13118100,1129400,86000,736300,0,315500,975200,202500,82293600,28700,194000,1900,1400,181700,55000,216600,1326300,6062000,5708500,4072800,2657000,241600,73480,118400,26300,4000,138500,4876100,8396900,1569300,19200,5300,119200,1640600,250600
"81",5038300,6974600,741200,74800,623200,313,176800,1901400,116600,75828800,174200,238700,800,200,286500,67300,200100,804300,6136700,9047500,2028300,3684600,205100,27720,140400,442600,7000,138900,4825300,17890900,3595600,5500,12700,140200,2283500,155600
